タイトル,bSP,BSP,DSP,ESP,CSP,BDP,DDP,EDP,CDP
愛言葉,3,5,7,11,-,5,8,11,-
蒼い衝動 ～for EXTREME～,2,4,6,9,-,4,6,11,-
朝色の紙飛行機,2,5,9,13,-,5,10,13,-
天ノ弱,3,6,10,13,-,7,10,13,-
妖隠し -あやかしかくし-,4,7,11,14,-,7,12,15,-
ありふれたせかいせいふく,3,7,10,14,-,7,10,14,-
アルストロメリア (walk with you remix),3,6,8,11,13,6,8,12,13
阿波おどり -Awaodori- やっぱり踊りはやめられない,5,9,12,14,-,9,13,15,-
いーあるふぁんくらぶ,1,4,8,12,-,5,9,12,-
イーディーエム・ジャンパーズ,3,5,8,12,-,4,8,11,-
怒れる大きな白い馬,4,5,8,11,-,3,7,11,-
色は匂へど散りぬるを,3,5,8,11,-,6,8,11,-
エイリアンエイリアン,2,5,9,12,-,5,9,12,-
エキサイティング！！も・ちゃ・ちゃ☆,4,8,11,13,-,8,11,13,-
エンドルフィン,4,8,12,15,-,8,12,15,-
お米の美味しい炊き方、そしてお米を食べることによるその効果。,4,8,12,16,-,8,12,16,-
御千手メディテーション,4,8,12,15,-,8,12,15,-
乙女繚乱 舞い咲き誇れ,4,7,10,13,-,7,10,13,-
おねがいダーリン,1,3,8,11,-,3,8,11,-
朧,3,6,8,11,-,6,10,12,-
朧 (dj TAKA Remix),3,5,8,12,-,7,9,13,-
女言葉の消失,3,6,9,13,-,6,9,12,-
革命,3,5,9,12,11,4,8,11,11
革命パッショネイト,3,6,10,13,-,5,9,13,-
革命(X-Special),-,-,-,-,14,-,-,-,14
カゲロウ,3,4,7,9,-,4,6,9,-
からふるぱすてる,2,6,9,12,-,6,9,13,-
キケンな果実,2,6,9,13,-,6,9,13,-
きゅん×きゅんばっきゅん☆LOVE,3,5,8,11,-,5,10,11,-
腐れ外道とチョコレゐト,3,8,12,15,-,8,12,16,-
倉野川音頭,2,5,7,11,-,5,8,11,-
クリムゾンゲイト,3,7,10,13,-,6,9,12,-
黒髪乱れし修羅となりて～凛 edition～,3,6,10,14,-,6,10,14,-
君氏危うくも近うよれ,3,6,10,12,-,6,10,13,-
激アツ☆マジヤバ☆チアガール,3,6,9,13,-,5,10,12,-
月光蝶,4,4,7,10,-,3,7,11,-
幻想系世界修復少女,3,6,9,12,-,7,9,13,-
恋時雨,3,7,9,12,-,7,9,13,-
恋する☆宇宙戦争っ!!,4,7,12,14,17,8,13,15,17
恋のパズルマジック,3,6,9,11,-,6,9,11,-
恋はどう？モロ◎波動OK☆方程式！！,4,7,11,14,-,6,11,14,-
紅焔,3,6,9,12,15,6,9,12,15
この青空の下で,3,6,9,11,-,6,9,11,-
この子の七つのお祝いに,3,7,10,14,-,7,10,14,-
桜,5,7,11,13,11,7,11,13,11
サナ・モレッテ・ネ・エンテ,3,4,9,12,-,5,9,12,-
さよならトリップ ～夏陽 EDM edition～,3,4,9,12,-,4,9,11,-
幸せになれる隠しコマンドがあるらしい,2,6,10,13,-,7,11,13,-
雫,2,5,9,12,-,5,9,12,-
漆黒のスペシャルプリンセスサンデー,4,8,11,13,-,7,11,13,-
しゃかりきリレーション,3,6,9,11,-,6,9,12,-
灼熱Beach Side Bunny,3,7,11,15,-,7,12,15,-
十二星座の聖域,3,6,10,13,-,6,10,13,-
シュレーディンガーの猫,6,9,12,15,18,9,12,15,18
春風ブローインウィンド,2,6,10,15,-,7,10,14,-
スイーツはとまらない♪,2,4,9,13,-,4,9,13,-
ずっとみつめていて (Ryu☆Remix),1,7,9,12,15,7,10,12,15
隅田川夏恋歌,2,5,10,12,16,6,9,12,16
すろぉもぉしょん,3,5,9,12,-,5,9,12,-
星座が恋した瞬間を。,2,7,9,12,-,7,9,12,-
晴天Bon Voyage,4,7,9,12,-,7,9,11,-
セツナトリップ,1,4,10,14,-,4,10,14,-
零 - ZERO -,3,5,8,11,-,6,8,13,-
千年ノ理,3,6,9,12,-,6,9,12,-
創世ノート,2,8,10,13,-,8,10,14,-
宇宙(ソラ)への片道切符,3,7,10,13,-,7,9,12,-
タイガーランペイジ,2,5,9,13,-,5,10,13,-
大見解,4,4,8,12,13,5,8,13,14
闘え！ダダンダーンＶ,3,6,9,13,-,6,10,13,-
打打打打打打打打打打,2,5,11,13,-,5,11,13,-
男々道,3,4,7,12,-,4,8,10,-
チカラ,4,5,8,10,-,4,9,13,-
ちくわパフェだよ☆CKP,4,7,9,12,14,7,9,12,14
地方創生☆チクワクティクス,2,6,10,13,-,7,10,13,-
ちゅ～いん☆バニー,3,6,8,10,13,5,8,11,13
チョコレートスマイル,3,6,9,12,-,6,9,12,-
チルノのパーフェクトさんすう教室,3,6,10,13,15,6,10,13,15
チルノのパーフェクトさんすう教室 (EDM REMIX),1,4,10,13,-,5,11,13,-
デッドボヲルdeホームラン,3,6,9,13,-,5,8,13,-
天空の華,4,7,12,15,-,7,12,15,-
天上の星～黎明記～,2,5,8,12,-,5,8,12,-
ドーパミン,7,10,13,17,-,10,13,17,-
突撃！ガラスのニーソ姫！,4,7,11,14,-,8,11,14,-
轟け！恋のビーンボール！！,3,7,11,16,-,6,11,16,-
ナイト・オブ・ナイツ,1,7,11,15,-,7,11,15,-
†渚の小悪魔ラヴリィ～レイディオ†,2,6,11,16,9,6,12,16,9
嘆きの樹,4,8,12,16,18,8,12,16,18
夏色DIARY -DDR mix-,3,7,10,14,-,6,11,15,-
虹色,3,4,8,11,13,4,7,13,13
虹色の花,3,5,8,11,-,5,8,11,-
熱情のサパデアード,2,5,9,13,-,5,10,13,-
脳漿炸裂ガール,3,6,10,12,14,6,10,12,14
爆なな☆てすとロイヤー,4,7,11,13,-,7,10,12,-
初音ミクの消失,3,8,10,13,15,10,13,14,15
ハッピーシンセサイザ,2,5,9,13,-,5,9,13,-
はなまるぴっぴはよいこだけ,4,7,10,12,-,6,10,12,-
華爛漫 -Flowers-,3,5,7,11,-,4,7,11,-
ハピ恋☆らぶりぃタイム!!,2,5,8,11,-,5,8,11,-
パ→ピ→プ→Yeah!,3,5,10,13,-,6,8,13,-
ハルイチバン,4,6,7,11,-,5,7,11,-
*ハロー、プラネット。,3,7,9,13,-,7,9,13,-
バンブーソード・ガール,2,7,11,15,-,7,12,15,-
ヒカリユリイカ,2,5,8,11,-,5,8,11,-
ビビットストリーム,4,6,10,13,-,6,10,13,-
ヒマワリ,3,4,7,11,-,4,7,13,-
向日葵サンセット,3,5,10,13,-,5,11,13,-
ビューティフル レシート,4,8,10,13,-,7,10,13,-
フー・フローツ,3,6,9,12,-,6,9,13,-
風鈴花火,2,5,8,10,-,5,8,10,-
不沈艦CANDY,2,6,9,14,-,5,8,14,-
無頼ック自己ライザー,1,4,8,13,-,5,9,13,-
プレインエイジア -PHQ remix-,5,7,10,13,-,7,10,13,-
ベィスドロップ・フリークス,3,7,10,13,-,7,10,13,-
ベビーステップ,4,7,9,12,-,7,9,12,-
放課後ストライド,3,5,10,15,-,5,11,15,-
星屑のキロク,3,6,9,11,-,6,10,12,-
ホメ猫☆センセーション,4,6,10,13,-,6,10,13,-
マインド・ゲーム,3,7,10,14,-,7,10,15,-
魔法のたまご ～心菜 ELECTRO POP edition～,3,4,8,11,-,6,8,11,-
魔理沙は大変なものを盗んでいきました,3,6,9,12,-,6,10,12,-
回レ！雪月花,2,5,8,11,13,3,7,12,13
三毛猫ロック,4,5,8,11,-,5,9,13,-
ミライプリズム,2,4,7,10,-,4,7,11,-
夢幻ノ光,4,4,8,11,-,4,8,11,-
冥,3,7,11,16,18,7,12,15,18
めうめうぺったんたん！！,3,6,9,12,16,6,9,12,15
滅亡天使 † にこきゅっぴん,4,6,9,12,-,6,9,12,-
妄想税,2,5,9,11,-,5,9,12,-
野球の遊び方　そしてその歴史　～決定版～,3,6,9,14,-,6,10,14,-
ヤマトなでなで♡かぐや姫,2,6,8,11,14,5,8,11,14
ようこそジャパリパークへ,3,6,10,14,12,6,10,14,13
ライアーダンス,4,6,9,13,-,7,9,13,-
